State | Avg Positive Increase | Avg Vaccinations Administered
-------------------------------------------------------------
AK | 47.00 | 1327430.00
AL | 581.00 | 7016184.00
AR | 354.00 | 4872445.50
AZ | 1782.00 | 14639152.50
CA | 4309.00 | 88427337.50
CO | 1193.67 | 13025897.50
CT | 276.67 | 9036867.50
DC | 135.00 | 2136508.33
DE | 237.00 | 2168120.33
FL | 4829.00 | 42231479.00
GA | 2019.67 | 17118032.50
HI | 77.67 | 3527109.00
IA | 331.00 | 6126596.33
ID | 214.33 | 2892598.00
IL | 1691.67 | 26824394.33
IN | 938.67 | 11196749.50
KS | 250.67 | 5383450.00
KY | 756.33 | 7505544.33
LA | 419.33 | 6959260.00
MA | 1682.00 | 18158559.00
MD | 851.33 | 14704828.00
ME | 189.00 | 3539614.50
MI | 1161.00 | 18750020.33
MN | 920.50 | 12821131.00
MO | 338.50 | 10500721.00
MS | 418.00 | 4305879.50
MT | 129.00 | 1869148.33
NC | 1013.50 | 19421292.33
ND | 56.50 | 1313664.67
NE | 358.00 | 3819081.00
NH | 219.50 | 2981369.50
NJ | 3119.50 | 19811825.33
NM | 231.00 | 4745422.33
NV | 365.00 | 5588042.00
NY | 7218.00 | 45141876.33
OH | 1120.50 | 21095662.00
OK | 719.50 | 6768664.67
OR | 203.00 | 9390626.00
PA | 2223.50 | 27573310.00
RI | 330.00 | 2670640.50
SC | 1303.50 | 8663454.00
SD | 180.00 | 1688114.00
TN | 656.00 | 11309576.00
TX | 4261.50 | 52459996.00
UT | 491.00 | 6158817.00
VA | 1320.00 | 19589548.50
VT | 132.00 | 1759879.00
WA | 721.00 | 17708667.50
WI | 495.50 | 12437716.00
WV | 240.50 | 3096961.00
WY | 0.00 | 853538.50
